1,1,0,1,0
2,0,0,0,0
3,0,0,0,0
4,2,0,2,0
5,10,1,10,0
6,4,0,4,0
7,40,1,40,0
8,92,2,92,2
9,352,2,352,5
10,724,8,724,8
11,2680,30,2680,29
12,14200,137,14200,141
13,73712,796,73712,850
14,365596,5025,365596,5376
15,2279184,34020,2279184,33948
16,14772512,253080,14772512,249652
17,95815104,1927210,95815104,1926630
18,666090624,15628147,666090624,16150134
